title,url,area,in_practice_engine
Angeline The Baker in A – Beginner,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-2-getting-plucky/angeline-the-baker-beginner-fiddle-lesson/,Beginner course (Modules 1-10),yes
Angeline The Baker in D – Basic,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-7-the-power-of-the-low-second-finger/2165-2/,Beginner course (Modules 1-10),no
Angeline the Baker in D – Variation,https://fiddlehed.com/courses/old-time-appalachian-fiddle-lessons/angeline-the-baker-variation/,Old-Time / Appalachian course,no
Arkansas Traveller,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-10-melodic-variation/arkansas-traveller/,Beginner course (Modules 1-10),yes
Arkansas Traveller Duet,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-4-more-scales-more-tunes-more-fun-more-or-less/arkansas-traveller-easy-fiddle/,Beginner course (Modules 1-10),no
Ashokan Farewell,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-8-raised-third-finger/ashokan-farewell/,Intermediate course (Modules 11-19),yes
Auld Lang Syne,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-6-living-in-the-ear-now/auld-lang-syne/,Beginner course (Modules 1-10),yes
Ballydesmond Polka – lower octave,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-4-more-scales-more-tunes-more-fun-more-or-less/ballydesmond-polka-lower-octave/,Beginner course (Modules 1-10),yes
Ballydesmond Polka – upper octave,https://fiddlehed.com/courses/intermediate-fiddle-lessons/fourth-finger/ballydesmond-polka-upper-octave/,Intermediate course (Modules 11-19),yes
Banshee – Basic,https://fiddlehed.com/courses/irish-fiddle-lessons/banshee/,Irish course,yes
Banshee – Variation,https://fiddlehed.com/courses/irish-fiddle-lessons/banshee-variation/,Irish course,no
Berdichiever Khosid,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-6-low-fourth-finger-i-iv-v/berdichiever-khosid/,Intermediate course (Modules 11-19),no
Bile 'em Cabbage Down – Basic,https://fiddlehed.com/courses/beginner-fiddle-lessons/start-fiddling-now-course-page/bile-em-cabbage-down/,Beginner course (Modules 1-10),yes
Bile 'em Cabbage Down – Variation 1,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-6-living-in-the-ear-now/bile-em-cabbage-down-variation-1/,Beginner course (Modules 1-10),yes
Bill Cheatham,https://fiddlehed.com/courses/intermediate-fiddle-lessons/look-both-ways-before-you-cross/bill-cheatham/,Intermediate course (Modules 11-19),yes
Bird in the Bush – Basic,https://fiddlehed.com/courses/irish-fiddle-lessons/bird-in-the-bush/,Irish course,no
Blackberry Blossom,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-5-soldiering-on/blackberry-blossom/,Intermediate course (Modules 11-19),yes
Blackest Crow – Basic,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-5-how-to-love-your-sound/blackest-crow-basic/,Beginner course (Modules 1-10),yes
Blackest Crow – Chord Backup On Fiddle (G Major),https://fiddlehed.com/practice-tools/how-to-play-back-up/blackest-crow-chord-backup-on-fiddle/,Chord backup / practice tools,no
Blackest Crow – Variation,https://fiddlehed.com/courses/old-time-appalachian-fiddle-lessons/blackest-crow-variation/,Old-Time / Appalachian course,no
Bonaparte Crossing The Rocky Mountains,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-10-melodic-variation/bonaparte-crossing-the-rookie-mountains/,Beginner course (Modules 1-10),no
Boys of Bluehill – Basic,https://fiddlehed.com/courses/irish-fiddle-lessons/boys-of-bluehill/,Irish course,no
Boys of Bluehill – Variation,https://fiddlehed.com/boys-of-bluehill-variation/,Standalone page,no
Breaking Up Christmas,https://wp.me/P8OLq8-83G,wp.me shortlink (resolve),no
Breton Gavotte,https://fiddlehed.com/courses/irish-fiddle-lessons/breton-gavotte/,Irish course,no
Britches Full Of Stitches,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-5-how-to-love-your-sound/britches-full-of-stitches/,Beginner course (Modules 1-10),yes
Buffalo Gals,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-3-the-d-major-scale/buffalo-gals/,Beginner course (Modules 1-10),no
Bury Me Beneath The Weeping Willow Tree,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-8-the-high-and-low-second-finger/bury-me-beneath-the-weeping-willow-tree/,Beginner course (Modules 1-10),no
Cajun Fiddle,https://fiddlehed.com/cajun-fiddle/,Standalone page,no
Camptown Races,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-3-the-d-major-scale/camptown-races/,Beginner course (Modules 1-10),no
